# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_Hybrid
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 104 train / 26 val studies
Epoch 001/500 | train_loss=0.8169 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9895 | lr=0.000200
Epoch 002/500 | train_loss=0.7927 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9924 | lr=0.000400
Epoch 003/500 | train_loss=0.7554 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9933 | lr=0.000600
Epoch 004/500 | train_loss=0.6647 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9942 | lr=0.000800
Epoch 005/500 | train_loss=0.5532 | val_dice=0.2088 | val_iou=0.1301 | val_f1=0.2088 | val_acc=0.9752 | lr=0.001000
Epoch 006/500 | train_loss=0.4762 | val_dice=0.2295 | val_iou=0.1433 | val_f1=0.2295 | val_acc=0.9794 | lr=0.000991
Epoch 007/500 | train_loss=0.4361 | val_dice=0.3012 | val_iou=0.1948 | val_f1=0.3012 | val_acc=0.9894 | lr=0.000989
Epoch 008/500 | train_loss=0.4080 | val_dice=0.3038 | val_iou=0.1984 | val_f1=0.3038 | val_acc=0.9871 | lr=0.000987
Epoch 009/500 | train_loss=0.3934 | val_dice=0.3151 | val_iou=0.2071 | val_f1=0.3151 | val_acc=0.9881 | lr=0.000986
Epoch 010/500 | train_loss=0.3815 | val_dice=0.3428 | val_iou=0.2281 | val_f1=0.3428 | val_acc=0.9930 | lr=0.000984
Epoch 011/500 | train_loss=0.3779 | val_dice=0.3607 | val_iou=0.2408 | val_f1=0.3607 | val_acc=0.9920 | lr=0.000982
Epoch 012/500 | train_loss=0.3692 | val_dice=0.3042 | val_iou=0.1986 | val_f1=0.3042 | val_acc=0.9862 | lr=0.000980
Epoch 013/500 | train_loss=0.3728 | val_dice=0.3559 | val_iou=0.2389 | val_f1=0.3559 | val_acc=0.9912 | lr=0.000978
Epoch 014/500 | train_loss=0.3635 | val_dice=0.3685 | val_iou=0.2489 | val_f1=0.3685 | val_acc=0.9918 | lr=0.000977
Epoch 015/500 | train_loss=0.3609 | val_dice=0.3378 | val_iou=0.2245 | val_f1=0.3378 | val_acc=0.9904 | lr=0.000975
Epoch 016/500 | train_loss=0.3588 | val_dice=0.3553 | val_iou=0.2394 | val_f1=0.3553 | val_acc=0.9898 | lr=0.000973
Epoch 017/500 | train_loss=0.3579 | val_dice=0.3592 | val_iou=0.2413 | val_f1=0.3592 | val_acc=0.9908 | lr=0.000971
Epoch 018/500 | train_loss=0.3528 | val_dice=0.3685 | val_iou=0.2483 | val_f1=0.3685 | val_acc=0.9913 | lr=0.000969
Epoch 019/500 | train_loss=0.3586 | val_dice=0.3357 | val_iou=0.2231 | val_f1=0.3357 | val_acc=0.9881 | lr=0.000968
Epoch 020/500 | train_loss=0.3438 | val_dice=0.3778 | val_iou=0.2560 | val_f1=0.3778 | val_acc=0.9913 | lr=0.000966
Epoch 021/500 | train_loss=0.3519 | val_dice=0.3650 | val_iou=0.2462 | val_f1=0.3650 | val_acc=0.9905 | lr=0.000964
Epoch 022/500 | train_loss=0.3413 | val_dice=0.3803 | val_iou=0.2582 | val_f1=0.3803 | val_acc=0.9906 | lr=0.000962
Epoch 023/500 | train_loss=0.3492 | val_dice=0.3676 | val_iou=0.2476 | val_f1=0.3676 | val_acc=0.9908 | lr=0.000960
Epoch 024/500 | train_loss=0.3361 | val_dice=0.3625 | val_iou=0.2463 | val_f1=0.3625 | val_acc=0.9895 | lr=0.000959
Epoch 025/500 | train_loss=0.3376 | val_dice=0.3956 | val_iou=0.2741 | val_f1=0.3956 | val_acc=0.9916 | lr=0.000957
Epoch 026/500 | train_loss=0.3394 | val_dice=0.3820 | val_iou=0.2620 | val_f1=0.3820 | val_acc=0.9909 | lr=0.000955
Epoch 027/500 | train_loss=0.3428 | val_dice=0.4071 | val_iou=0.2797 | val_f1=0.4071 | val_acc=0.9933 | lr=0.000953
Epoch 028/500 | train_loss=0.3353 | val_dice=0.3903 | val_iou=0.2666 | val_f1=0.3903 | val_acc=0.9910 | lr=0.000951
Epoch 029/500 | train_loss=0.3311 | val_dice=0.4133 | val_iou=0.2865 | val_f1=0.4133 | val_acc=0.9925 | lr=0.000949
Epoch 030/500 | train_loss=0.3375 | val_dice=0.4014 | val_iou=0.2793 | val_f1=0.4014 | val_acc=0.9922 | lr=0.000948
Epoch 031/500 | train_loss=0.3399 | val_dice=0.4128 | val_iou=0.2892 | val_f1=0.4128 | val_acc=0.9922 | lr=0.000946
Epoch 032/500 | train_loss=0.3318 | val_dice=0.3780 | val_iou=0.2584 | val_f1=0.3780 | val_acc=0.9896 | lr=0.000944
Epoch 033/500 | train_loss=0.3286 | val_dice=0.3992 | val_iou=0.2786 | val_f1=0.3992 | val_acc=0.9913 | lr=0.000942
Epoch 034/500 | train_loss=0.3288 | val_dice=0.4323 | val_iou=0.3033 | val_f1=0.4323 | val_acc=0.9927 | lr=0.000940
Epoch 035/500 | train_loss=0.3191 | val_dice=0.4329 | val_iou=0.3073 | val_f1=0.4329 | val_acc=0.9932 | lr=0.000939
Epoch 036/500 | train_loss=0.3233 | val_dice=0.4237 | val_iou=0.2945 | val_f1=0.4237 | val_acc=0.9927 | lr=0.000937
Epoch 037/500 | train_loss=0.3327 | val_dice=0.4075 | val_iou=0.2855 | val_f1=0.4075 | val_acc=0.9921 | lr=0.000935
Epoch 038/500 | train_loss=0.3199 | val_dice=0.4204 | val_iou=0.2949 | val_f1=0.4204 | val_acc=0.9920 | lr=0.000933
Epoch 039/500 | train_loss=0.3181 | val_dice=0.4125 | val_iou=0.2896 | val_f1=0.4125 | val_acc=0.9925 | lr=0.000931
Epoch 040/500 | train_loss=0.3140 | val_dice=0.4408 | val_iou=0.3137 | val_f1=0.4408 | val_acc=0.9928 | lr=0.000930
Epoch 041/500 | train_loss=0.3122 | val_dice=0.4198 | val_iou=0.2939 | val_f1=0.4198 | val_acc=0.9913 | lr=0.000928
Epoch 042/500 | train_loss=0.3076 | val_dice=0.4177 | val_iou=0.2928 | val_f1=0.4177 | val_acc=0.9918 | lr=0.000926
Epoch 043/500 | train_loss=0.3202 | val_dice=0.4269 | val_iou=0.2956 | val_f1=0.4269 | val_acc=0.9916 | lr=0.000924
Epoch 044/500 | train_loss=0.3067 | val_dice=0.4476 | val_iou=0.3185 | val_f1=0.4476 | val_acc=0.9925 | lr=0.000922
Epoch 045/500 | train_loss=0.3119 | val_dice=0.4157 | val_iou=0.2923 | val_f1=0.4157 | val_acc=0.9906 | lr=0.000920
