# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_Mixed_Size
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 87 train / 22 val studies
Epoch 001/500 | train_loss=0.8179 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9898 | lr=0.000200
Epoch 002/500 | train_loss=0.7974 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9907 | lr=0.000400
Epoch 003/500 | train_loss=0.7679 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9909 | lr=0.000600
Epoch 004/500 | train_loss=0.7035 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9919 | lr=0.000800
Epoch 005/500 | train_loss=0.6039 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9921 | lr=0.001000
Epoch 006/500 | train_loss=0.5235 | val_dice=0.2328 | val_iou=0.1448 | val_f1=0.2328 | val_acc=0.9683 | lr=0.000991
Epoch 007/500 | train_loss=0.4662 | val_dice=0.2575 | val_iou=0.1644 | val_f1=0.2575 | val_acc=0.9808 | lr=0.000989
Epoch 008/500 | train_loss=0.4168 | val_dice=0.2925 | val_iou=0.1920 | val_f1=0.2925 | val_acc=0.9887 | lr=0.000987
Epoch 009/500 | train_loss=0.3912 | val_dice=0.3257 | val_iou=0.2145 | val_f1=0.3257 | val_acc=0.9853 | lr=0.000986
Epoch 010/500 | train_loss=0.3853 | val_dice=0.3459 | val_iou=0.2359 | val_f1=0.3459 | val_acc=0.9890 | lr=0.000984
Epoch 011/500 | train_loss=0.3752 | val_dice=0.3116 | val_iou=0.2092 | val_f1=0.3116 | val_acc=0.9865 | lr=0.000982
Epoch 012/500 | train_loss=0.3633 | val_dice=0.3681 | val_iou=0.2572 | val_f1=0.3681 | val_acc=0.9891 | lr=0.000980
Epoch 013/500 | train_loss=0.3721 | val_dice=0.3609 | val_iou=0.2507 | val_f1=0.3609 | val_acc=0.9877 | lr=0.000978
Epoch 014/500 | train_loss=0.3531 | val_dice=0.3451 | val_iou=0.2360 | val_f1=0.3451 | val_acc=0.9873 | lr=0.000977
Epoch 015/500 | train_loss=0.3596 | val_dice=0.3627 | val_iou=0.2527 | val_f1=0.3627 | val_acc=0.9905 | lr=0.000975
Epoch 016/500 | train_loss=0.3477 | val_dice=0.3605 | val_iou=0.2510 | val_f1=0.3605 | val_acc=0.9903 | lr=0.000973
Epoch 017/500 | train_loss=0.3468 | val_dice=0.3428 | val_iou=0.2341 | val_f1=0.3428 | val_acc=0.9898 | lr=0.000971
Epoch 018/500 | train_loss=0.3432 | val_dice=0.3509 | val_iou=0.2417 | val_f1=0.3509 | val_acc=0.9885 | lr=0.000969
