# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_large_tumor
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 65 train / 16 val studies
Epoch 001/500 | train_loss=0.8175 | val_dice=0.0027 | val_iou=0.0014 | val_f1=0.0027 | val_acc=0.9883 | lr=0.000200
Epoch 002/500 | train_loss=0.7998 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9904 | lr=0.000400
Epoch 003/500 | train_loss=0.7803 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9910 | lr=0.000600
Epoch 004/500 | train_loss=0.7533 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9913 | lr=0.000800
Epoch 005/500 | train_loss=0.7172 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9914 | lr=0.001000
Epoch 006/500 | train_loss=0.6763 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9913 | lr=0.000991
Epoch 007/500 | train_loss=0.6375 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9918 | lr=0.000989
Epoch 008/500 | train_loss=0.5974 | val_dice=0.0000 | val_iou=0.0000 | val_f1=0.0000 | val_acc=0.9918 | lr=0.000987
Epoch 009/500 | train_loss=0.5356 | val_dice=0.4300 | val_iou=0.2926 | val_f1=0.4300 | val_acc=0.9918 | lr=0.000986
Epoch 010/500 | train_loss=0.4654 | val_dice=0.4491 | val_iou=0.3046 | val_f1=0.4491 | val_acc=0.9907 | lr=0.000984
Epoch 011/500 | train_loss=0.4215 | val_dice=0.3773 | val_iou=0.2448 | val_f1=0.3773 | val_acc=0.9820 | lr=0.000982
Epoch 012/500 | train_loss=0.3764 | val_dice=0.4055 | val_iou=0.2692 | val_f1=0.4055 | val_acc=0.9872 | lr=0.000980
