epoch,train_loss_mean,val_loss_mean,pseudo_dice_mean,pseudo_dice_std,n_folds
0,0.8144,0.6354,0.4813,0.1211,5
1,0.5063,0.5548,0.5581,0.1207,5
2,0.4091,0.5783,0.5376,0.1187,5
3,0.3651,0.5833,0.5334,0.0968,5
4,0.3441,0.5598,0.5522,0.1124,5
5,0.3349,0.5517,0.5661,0.1023,5
6,0.3162,0.5583,0.5528,0.1106,5
7,0.3034,0.5830,0.5393,0.1028,5
8,0.3068,0.5780,0.5397,0.0898,5
9,0.2952,0.5811,0.5404,0.0922,5
10,0.2914,0.6009,0.5330,0.1050,5
11,0.2881,0.6021,0.5332,0.0888,5
12,0.2867,0.5995,0.5373,0.1000,5
13,0.2938,0.5922,0.5431,0.0877,5
14,0.2825,0.6081,0.5276,0.1099,5
15,0.2733,0.6090,0.5337,0.1042,5
16,0.2791,0.6134,0.5300,0.1007,5
17,0.2778,0.5985,0.5446,0.0968,5
18,0.2753,0.6268,0.5090,0.1020,5
19,0.2731,0.6269,0.5119,0.1007,5
20,0.2700,0.6210,0.5183,0.0795,5
21,0.2655,0.6141,0.5234,0.1016,5
22,0.2686,0.6228,0.5191,0.0988,5
23,0.2654,0.6356,0.5033,0.1053,5
24,0.2646,0.6151,0.5340,0.0966,5
25,0.2610,0.6131,0.5263,0.0860,5
26,0.2724,0.5949,0.5414,0.0852,5
27,0.2673,0.6068,0.5399,0.0996,5
28,0.2659,0.6011,0.5437,0.0941,5
29,0.2635,0.6227,0.5152,0.0903,5
30,0.2511,0.6396,0.5125,0.1017,5
31,0.2547,0.6223,0.5257,0.1008,5
32,0.2605,0.6378,0.5070,0.0942,5
33,0.2547,0.6205,0.5263,0.1006,5
34,0.2648,0.6496,0.4975,0.1050,5
35,0.2539,0.6526,0.4877,0.1227,5
36,0.2568,0.6483,0.4946,0.0966,5
37,0.2504,0.6453,0.4839,0.1226,5
38,0.2545,0.6088,0.5288,0.1078,5
39,0.2566,0.6301,0.5142,0.1097,5
40,0.2558,0.6485,0.5022,0.1086,5
41,0.2558,0.6348,0.5123,0.1085,5
42,0.2487,0.6461,0.5002,0.1118,5
43,0.2540,0.6305,0.5181,0.1063,5
44,0.2519,0.6346,0.5269,0.1017,5
45,0.2537,0.6264,0.5282,0.0983,5
46,0.2518,0.6507,0.4989,0.0934,5
47,0.2604,0.6642,0.4850,0.1118,5
48,0.2510,0.6618,0.4804,0.1238,5
49,0.2498,0.6504,0.4969,0.1105,5
50,0.2445,0.6798,0.4583,0.1522,5
51,0.2502,0.6749,0.4699,0.1486,5
52,0.2477,0.6475,0.5102,0.1085,5
53,0.2471,0.6603,0.4885,0.1303,5
54,0.2445,0.6700,0.4776,0.1328,5
55,0.2490,0.6676,0.4830,0.1274,5
56,0.2464,0.6729,0.4817,0.1271,5
57,0.2440,0.6885,0.4706,0.1425,5
58,0.2404,0.6606,0.4823,0.1484,5
59,0.2440,0.6399,0.5126,0.1072,5
60,0.2532,0.6885,0.4586,0.1529,5
61,0.2467,0.6588,0.4934,0.1183,5
62,0.2475,0.6639,0.4877,0.1269,5
63,0.2475,0.6588,0.4825,0.1391,5
64,0.2406,0.6821,0.4751,0.1464,5
65,0.2428,0.6745,0.4764,0.1617,5
66,0.2475,0.6752,0.4758,0.1510,5
67,0.2446,0.6719,0.4770,0.1518,5
68,0.2418,0.6751,0.4717,0.1532,5
69,0.2437,0.6798,0.4674,0.1505,5
70,0.2507,0.6849,0.4676,0.1515,5
71,0.2465,0.6855,0.4568,0.1645,5
72,0.2412,0.6718,0.4774,0.1476,5
73,0.2442,0.6846,0.4574,0.1644,5
74,0.2432,0.6806,0.4676,0.1579,5
75,0.2441,0.6882,0.4557,0.1761,5
76,0.2487,0.6778,0.4662,0.1593,5
77,0.2373,0.6816,0.4603,0.1631,5
78,0.2443,0.6884,0.4593,0.1662,5
79,0.2517,0.6845,0.4612,0.1613,5
