dataset,model,metric,n,mean,sd,median,q1,q3,ci95_lo,ci95_hi,min,max,inference_advised
large_tumor,nnU-Net,Dice,8,0.8640801012516022,0.06864296827152408,0.8876844942569733,0.8252601772546768,0.9037645757198334,0.8160529658198357,0.9039727291092277,0.730215847492218,0.9368743300437927,True
large_tumor,nnU-Net,IoU,8,0.76608457416296,0.10222784676231711,0.7980548143386841,0.7025255709886551,0.8247558325529099,0.6955555954948067,0.826874272339046,0.5750707983970642,0.8812451362609863,True
large_tumor,nnU-Net,Precision,8,0.8827505856752396,0.12287246665097716,0.9392030239105225,0.865199089050293,0.952508956193924,0.792915559373796,0.944480687379837,0.5989806652069092,0.9650284051895142,True
large_tumor,nnU-Net,Recall,8,0.8612213954329491,0.07565826671013388,0.8709068894386292,0.8360578566789627,0.914516881108284,0.8088028958067298,0.9052880620583892,0.7100240588188171,0.9358677864074707,True
small_tumor,nnU-Net,Dice,3,0.5601897307982048,0.4631427328856942,0.7808857560157776,0.4044306082651019,0.826296865940094,0.02797546051442623,0.8717079758644104,0.02797546051442623,0.8717079758644104,False
small_tumor,nnU-Net,IoU,3,0.4757707578440507,0.40516035255116567,0.6405353546142578,0.3273607585579157,0.7065630555152893,0.014186162501573563,0.7725907564163208,0.014186162501573563,0.7725907564163208,False
small_tumor,nnU-Net,Precision,3,0.6738832890987396,0.22258062807086876,0.7718893885612488,0.5955035239458084,0.8012661039829254,0.41911765933036804,0.830642819404602,0.41911765933036804,0.830642819404602,False
small_tumor,nnU-Net,Recall,3,0.5738698976735274,0.4885946329268955,0.7900943160057068,0.40228249691426754,0.853569507598877,0.014470677822828293,0.9170446991920471,0.014470677822828293,0.9170446991920471,False
Mixed_Size,nnU-Net,Dice,11,0.8414332866668701,0.10490912910574147,0.8670175075531006,0.8411837816238403,0.894094705581665,0.7740194071422923,0.8869549646973609,0.5441412329673767,0.9241600036621094,True
Mixed_Size,nnU-Net,IoU,11,0.7371669709682465,0.13286305527787695,0.7652523517608643,0.7261672914028168,0.8085916340351105,0.6523014690388332,0.7983323009176687,0.3737596571445465,0.8590124845504761,True
Mixed_Size,nnU-Net,Precision,11,0.8942056406628002,0.0704859034302133,0.9192727208137512,0.8477110266685486,0.9529673159122467,0.851933307403868,0.9312261485240676,0.7462384700775146,0.9638983607292175,True
Mixed_Size,nnU-Net,Recall,11,0.8081927380778573,0.13924715170687077,0.8494251370429993,0.807824432849884,0.8751759231090546,0.7188762196085671,0.8633735500953414,0.39976415038108826,0.8887521028518677,True
Hybrid,nnU-Net,Dice,10,0.3525381298069415,0.3824673214204538,0.23965470521875817,2.4954357330519983e-10,0.726425975561142,0.13213327848942916,0.5809514492815356,2.9776084375932044e-11,0.8420233726501465,True
Hybrid,nnU-Net,IoU,10,0.27855696988148065,0.31041483916532064,0.15759597747751672,2.4954357330519983e-10,0.5704668909311295,0.10423425158529932,0.46263758545222494,2.9776084375932044e-11,0.727150559425354,True
Hybrid,nnU-Net,Precision,10,0.5862193169693726,0.4556893757681367,0.7807221412658691,0.0833866159405072,0.985864520072937,0.32166650334312596,0.8471994060369525,5.900401001124322e-11,1.0,True
Hybrid,nnU-Net,Recall,10,0.3647256196857907,0.3940135366952194,0.2786620262188574,2.6971266886555156e-10,0.7124342024326324,0.13826181917344654,0.5963750833363465,6.011060399435664e-11,0.855950653553009,True
large_tumor,3D U-Net,Dice,8,0.8294574022293091,0.08814617209209728,0.8751226961612701,0.7752338349819183,0.8874539583921432,0.7678645482286811,0.8816213358193636,0.6703386902809143,0.9109901785850525,True
large_tumor,3D U-Net,IoU,8,0.7166707664728165,0.12248061764940277,0.7780030965805054,0.6335588693618774,0.7977175861597061,0.6317728385329247,0.7897018456831575,0.5041424632072449,0.8365306854248047,True
large_tumor,3D U-Net,Precision,8,0.8409734070301056,0.11095739248416284,0.8724303841590881,0.8069503605365753,0.9154742211103439,0.7603918686509132,0.9014673158526421,0.5961521863937378,0.9367590546607971,True
large_tumor,3D U-Net,Recall,8,0.8462009355425835,0.14701162423389735,0.8916051685810089,0.8198503404855728,0.9508706480264664,0.7421510746702552,0.925608716905117,0.5219054222106934,0.9558905363082886,True
small_tumor,3D U-Net,Dice,3,0.2634837039125462,0.3901735856344451,0.07134894281625748,0.0389927935320884,0.3919072337448597,0.006636644247919321,0.7124655246734619,0.006636644247919321,0.7124655246734619,False
small_tumor,3D U-Net,IoU,3,0.19789335248060524,0.30829993633632863,0.036994218826293945,0.02016179438214749,0.29517534375190735,0.0033293699380010366,0.5533564686775208,0.0033293699380010366,0.5533564686775208,False
small_tumor,3D U-Net,Precision,3,0.23372040316462517,0.31640567691262556,0.052088987082242966,0.05104449577629566,0.3255806025117636,0.05000000447034836,0.5990722179412842,0.05000000447034836,0.5990722179412842,False
small_tumor,3D U-Net,Recall,3,0.33185643182757,0.4768360347486274,0.11320754885673523,0.058380875387229025,0.4960075467824936,0.0035542019177228212,0.878807544708252,0.0035542019177228212,0.878807544708252,False
Mixed_Size,3D U-Net,Dice,11,0.7263458581133322,0.2375225077606082,0.8125078082084656,0.6916411221027374,0.84659543633461,0.5728676961226896,0.8333654299378395,0.07279693335294724,0.9169737100601196,True
Mixed_Size,3D U-Net,IoU,11,0.6084393794563684,0.2286871862759092,0.6842215657234192,0.5302924364805222,0.7350584268569946,0.4651874940503727,0.7212620901790532,0.037773359566926956,0.846677303314209,True
Mixed_Size,3D U-Net,Precision,11,0.7281756167384711,0.2674265615978411,0.779095470905304,0.6732398271560669,0.9276185929775238,0.559902325746688,0.857797440344637,0.049912434071302414,0.9585283398628235,True
Mixed_Size,3D U-Net,Recall,11,0.7383062758228995,0.21263423270412227,0.790035605430603,0.7145691215991974,0.8546775877475739,0.6015204672108998,0.8314764284274795,0.13443395495414734,0.8998307585716248,True
Hybrid,3D U-Net,Dice,10,0.41155468678010665,0.29380581748686985,0.5045474916696548,0.1839989759027958,0.5947335213422775,0.23734668356313018,0.5818199929222464,2.476473470736096e-10,0.7992343306541443,True
Hybrid,3D U-Net,IoU,10,0.2982468702448723,0.23763632307464966,0.33843737840652466,0.10149653069674969,0.42359233647584915,0.1623391159150199,0.44048287741915393,2.476473470736096e-10,0.6656039357185364,True
Hybrid,3D U-Net,Precision,10,0.5416316318525742,0.3312307514482665,0.5960545539855957,0.2919490560889244,0.7983161509037018,0.34344220757149335,0.7301558123901486,2.99401192727089e-09,1.0,True
Hybrid,3D U-Net,Recall,10,0.47307799464339284,0.34979032056772474,0.5098666697740555,0.19370434433221817,0.7212928980588913,0.2657904035096734,0.6779439304351491,2.476473470736096e-10,0.962253212928772,True
large_tumor,Attention U-Net,Dice,8,0.7775793224573135,0.08807592850555437,0.7896836996078491,0.7207063883543015,0.8523631244897842,0.718552066385746,0.8316724222153425,0.6529331207275391,0.8723728656768799,True
large_tumor,Attention U-Net,IoU,8,0.6433961093425751,0.1159011084416757,0.6529648900032043,0.5645478442311287,0.7428356558084488,0.5666914219036698,0.715065348893404,0.4847072660923004,0.773635983467102,True
large_tumor,Attention U-Net,Precision,8,0.7660764008760452,0.12923596034642748,0.7735791206359863,0.7269128262996674,0.8272558599710464,0.674432929046452,0.8430799171328545,0.5033273100852966,0.9280796051025391,True
large_tumor,Attention U-Net,Recall,8,0.8123477026820183,0.11354383177267835,0.8195655047893524,0.8014388680458069,0.870330348610878,0.7304605692625046,0.8768613826483488,0.5740171074867249,0.9342249631881714,True
small_tumor,Attention U-Net,Dice,3,0.3671261569419002,0.3700334856096602,0.3613784611225128,0.18068923064447878,0.550689235329628,1.6644473299631812e-10,0.7400000095367432,1.6644473299631812e-10,0.7400000095367432,False
small_tumor,Attention U-Net,IoU,3,0.26927989726846374,0.2966692086624248,0.22053807973861694,0.11026903995253085,0.40391984581947327,1.6644473299631812e-10,0.5873016119003296,1.6644473299631812e-10,0.5873016119003296,False
small_tumor,Attention U-Net,Precision,3,0.30487837410189417,0.33864713194959467,0.24525916576385498,0.12262958312359012,0.4573175609111786,4.833252686964329e-10,0.6693759560585022,4.833252686964329e-10,0.6693759560585022,False
small_tumor,Attention U-Net,Recall,3,0.5045350989552192,0.44258834472378555,0.6863207817077637,0.34316039098081763,0.7568026483058929,2.5387153490541436e-10,0.8272845149040222,2.5387153490541436e-10,0.8272845149040222,False
Mixed_Size,Attention U-Net,Dice,11,0.582428283312104,0.18994132057076826,0.606033444404602,0.4629623740911484,0.7163596153259277,0.47274737270040945,0.6850463423539291,0.23696915805339813,0.8692082166671753,True
Mixed_Size,Attention U-Net,IoU,11,0.4334890612147071,0.1874343141733386,0.4347546398639679,0.3018707036972046,0.5580693781375885,0.3275381055406549,0.5381104623729532,0.134410098195076,0.7686722278594971,True
Mixed_Size,Attention U-Net,Precision,11,0.6038057370619341,0.278083239962975,0.665370523929596,0.40694811940193176,0.8181711137294769,0.4445220169695941,0.7559956440871411,0.1479089856147766,0.9571777582168579,True
Mixed_Size,Attention U-Net,Recall,11,0.6458386236971075,0.14259488051347782,0.6717433333396912,0.5545524060726166,0.7549787163734436,0.5640795511278239,0.7232291851531375,0.4247944951057434,0.8283973932266235,True
Hybrid,Attention U-Net,Dice,10,0.42068400979397,0.25155947816056007,0.4774591773748398,0.24778523668646812,0.610480546951294,0.2654691190716976,0.5600958107447357,3.549497848420735e-11,0.7335041165351868,True
Hybrid,Attention U-Net,IoU,10,0.2941413387691707,0.1952482710567363,0.31361129879951477,0.14436964504420757,0.4397426024079323,0.1767533969543891,0.40664001109770687,3.549497848420735e-11,0.5791602730751038,True
Hybrid,Attention U-Net,Precision,10,0.4098229065578886,0.2770450981133689,0.43457959592342377,0.2013029046356678,0.5795364901423454,0.2494671955787556,0.5738999399583206,4.143360307629074e-11,0.9356296062469482,True
Hybrid,Attention U-Net,Recall,10,0.48793214003237984,0.31166288998582253,0.5024805963039398,0.29198378324508667,0.6934799402952194,0.30392753410766915,0.6653024631831794,2.476473470736096e-10,0.8863909840583801,True
