metric,comparison,n_pairs,statistic,p_value,median_difference,diff_ci95_lo,diff_ci95_hi,rank_biserial,n_favouring_reference,n_favouring_comparator,p_holm,p_formatted,p_holm_formatted,significant_holm_005,role
Dice,Ensemble vs nnU-Net,10,23.0,0.6953125,-0.004899999999999988,-0.08660000000000001,0.05265,-0.16363636363636364,5,5,0.6953125,0.695,0.695,False,primary
Dice,Ensemble vs Attention,10,5.0,0.01953125,0.07534999999999999,0.02729999999999998,0.3033,0.8181818181818182,9,1,0.0390625,0.020,0.039,True,primary
Dice,Ensemble vs U-Net BCE,10,3.0,0.009765625,0.10325000000000004,0.0241,0.28104999999999997,0.8909090909090909,8,2,0.029296875,0.010,0.029,True,primary
IoU,Ensemble vs nnU-Net,10,20.0,0.4921875,-0.016950000000000014,-0.10179999999999995,0.039729999999998836,-0.2727272727272727,5,5,0.4921875,0.492,0.492,False,secondary (exploratory)
IoU,Ensemble vs Attention,10,3.0,0.009765625,0.06234999999999996,0.018799999999999983,0.2821,0.8909090909090909,9,1,0.029296875,0.010,0.029,True,secondary (exploratory)
IoU,Ensemble vs U-Net BCE,10,3.0,0.009765625,0.08894999999999997,0.024100000000000038,0.22090000000000004,0.8909090909090909,8,2,0.029296875,0.010,0.029,True,secondary (exploratory)
Precision,Ensemble vs nnU-Net,10,17.0,0.322265625,-0.07974999999999999,-0.1834,0.05710000000000002,-0.38181818181818183,4,6,0.64453125,0.322,0.645,False,secondary (exploratory)
Precision,Ensemble vs Attention,10,3.0,0.009765625,0.10450000000000001,0.030500000000000027,0.3020999999999999,0.8909090909090909,8,2,0.029296875,0.010,0.029,True,secondary (exploratory)
Precision,Ensemble vs U-Net BCE,10,27.0,1.0,0.021600000000000008,-0.11295000000000005,0.06559999999999999,-0.01818181818181818,6,4,1.0,1.000,1.000,False,secondary (exploratory)
Recall,Ensemble vs nnU-Net,10,9.0,0.064453125,0.07534999999999997,0.04619999999999998,0.10795000000000002,0.6727272727272727,9,1,0.12890625,0.064,0.129,False,secondary (exploratory)
Recall,Ensemble vs Attention,10,19.0,0.431640625,0.025649999999999982,-0.03080000000000005,0.09809999999999997,0.3090909090909091,7,3,0.431640625,0.432,0.432,False,secondary (exploratory)
Recall,Ensemble vs U-Net BCE,10,0.0,0.001953125,0.3444,0.0993,0.4422499999999999,1.0,10,0,0.005859375,0.002,0.006,True,secondary (exploratory)
